taxa_clean,taxonID,taxonRank,acceptedNameUsageID,taxonomicStatus,update_date,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName
Nemacladus glanduliferus,ITIS:34589,species,ITIS:34589,accepted,2012-02-27,Plantae,NA,Magnoliopsida,Asterales,Campanulaceae,Nemacladus,glanduliferus,,glandular threadplant
Nemacladus rigidus,ITIS:34596,species,ITIS:34596,accepted,2012-02-27,Plantae,NA,Magnoliopsida,Asterales,Campanulaceae,Nemacladus,rigidus,,stoutstem threadplant
Neogaerrhinum filipes,ITIS:503941,species,ITIS:503941,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Plantaginaceae,Neogaerrhinum,filipes,,yellow twining snapdragon
Nicotiana obtusifolia,ITIS:508057,species,ITIS:508057,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Solanales,Solanaceae,Nicotiana,obtusifolia,,tobacco plant
Oligomeris linifolia,ITIS:504012,species,ITIS:504012,accepted,2011-08-30,Plantae,NA,Magnoliopsida,Brassicales,Resedaceae,Oligomeris,linifolia,,lineleaf whitepuff
Oncosiphon piluliferum,ITIS:565331,species,ITIS:565331,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Oncosiphon,piluliferum,,stinknet
Orobanche cooperi,ITIS:34286,species,ITIS:34286,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Orobanchaceae,Orobanche,cooperi,,desert broomrape
Parietaria,ITIS:19164,genus,ITIS:19164,accepted,2011-07-25,NA,NA,NA,NA,NA,NA,,,pellitory
Parietaria hespera,ITIS:19166,species,ITIS:19166,accepted,2011-07-25,Plantae,NA,Magnoliopsida,Rosales,Urticaceae,Parietaria,hespera,,rillita pellitory
Parkinsonia microphylla,ITIS:26828,species,ITIS:26828,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Parkinsonia,microphylla,,yellow paloverde
Pectocarya,ITIS:31970,genus,ITIS:31970,accepted,2011-12-08,NA,NA,NA,NA,NA,NA,,,combseed
Pectocarya heterocarpa,ITIS:31971,species,ITIS:31971,accepted,2011-12-08,Plantae,NA,Magnoliopsida,Boraginales,Boraginaceae,Pectocarya,heterocarpa,,chuckwalla combseed
Pectocarya platycarpa,ITIS:31973,species,ITIS:31973,accepted,2011-12-08,Plantae,NA,Magnoliopsida,Boraginales,Boraginaceae,Pectocarya,platycarpa,,broadfruit combseed
Pectocarya recurvata,ITIS:31975,species,ITIS:31975,accepted,2011-12-08,Plantae,NA,Magnoliopsida,Boraginales,Boraginaceae,Pectocarya,recurvata,,curvenut combseed
Perityle emoryi,ITIS:38211,species,ITIS:38211,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Perityle,emoryi,,Emorys rocklily
Phacelia,ITIS:31433,genus,ITIS:31433,accepted,2014-12-22,NA,NA,NA,NA,NA,NA,,,scorpion weed
Phacelia crenulata,ITIS:31478,species,ITIS:31478,accepted,2011-12-08,Plantae,NA,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,crenulata,,cleftleaf wildheliotrope
Phacelia distans,ITIS:31485,species,ITIS:31485,accepted,2011-12-08,Plantae,NA,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,distans,,distant phacelia
Pholistoma auritum,ITIS:31612,species,ITIS:31612,accepted,2011-12-08,Plantae,NA,Magnoliopsida,Boraginales,Hydrophyllaceae,Pholistoma,auritum,,blue fiestaflower
Physaria,ITIS:23269,genus,ITIS:23269,accepted,2011-08-30,NA,NA,NA,NA,NA,NA,,,twinpod
Physaria gordonii,ITIS:823240,species,ITIS:823240,accepted,2011-08-30,Plantae,NA,Magnoliopsida,Brassicales,Brassicaceae,Physaria,gordonii,,Gordons bladderpod
Physaria tenella,ITIS:823170,species,ITIS:823170,accepted,2011-08-30,Plantae,NA,Magnoliopsida,Brassicales,Brassicaceae,Physaria,tenella,,Moapa bladderpod
